Topic Category,Disclosure Title,Disclosure Description,Sector,Subsector
"Employee Engagement, Diversity & Inclusion",Employee Diversity & Inclusion,"Entities in the Investment Banking & Brokerage industry face significant competition for skilled employees. As the industry continues to undergo rapid innovation through the introduction of more complex financial products and computerised algorithmic
and high-frequency trading, material concerns such as profitability are more likely to determine the ability of entities to attract and retain skilled employees. By ensuring gender and racial diversity throughout the organisation, entities may expand their candidate pool, which may reduce hiring costs and improve operational efficiency. Evidence also suggests that entities with more diverse groups of employees may reduce risk-taking among employees involved in risk-prone trading activities (for example, trading), which may reduce the entity’s overall risk exposure. Entities with more diverse workforces may, therefore, be better able to attract skilled labour, adapt to advancements in technology and safeguard employee well-being.
More",Financials,Investment Banking & Brokerage
Product Design & Lifecycle Management,"Incorporation of Environmental, Social, and Governance Factors in Investment Banking & Brokerage Activities","Environmental, social and governance (ESG) factors may have material impacts on the entities assets and projects across a range of industries to which investment banks provide services or in which they invest. Therefore, by accounting for these
factors in underwriting, advisory, investing and lending activities, investment banks may manage significant positive and negative environmental and social externalities effectively. The potential for both value creation and loss associated with ESG factors suggests that investment banking and brokerage entities have a responsibility to shareholders and clients to consider these factors when analysing and valuing core products, including sell-side research, advisory services, origination, underwriting and principal transactions. Investment banking and brokerage entities that fail to manage these risks and opportunities effectively may expose themselves to increased reputational and financial risks. Appropriately pricing ESG risks may reduce investment banks’ financial risk exposure, help generate additional revenue or open new market opportunities. To help investors better understand how entities in the industry manage these issues, investment banks should disclose how they incorporate ESG factors in their core products and services.
More",Financials,Investment Banking & Brokerage
Business Ethics,Business Ethics,"The regulatory environment surrounding the Investment Banking & Brokerage industry continues to evolve internationally. Entities must adhere to a complex and often inconsistent set of rules relating to performance and conduct, as well as provide
disclosure on issues including insider trading, antitrust behaviour, price fixing and market manipulation. Entities are subject to strict legal requirements against tax evasion, fraud, money laundering and corrupt practices. In some jurisdictions, enhanced rewards for whistle-blowers may increase the number of complaints brought to regulators. Entities that ensure regulatory compliance through robust internal controls may build trust with clients, increase revenue and protect shareholder value by minimising losses incurred because of legal proceedings.
More",Financials,Investment Banking & Brokerage
Business Ethics,Professional Integrity,"The success of entities in the Investment Banking & Brokerage industry is dependent on cultivating client trust and loyalty. To ensure long-term, mutually beneficial relationships, entities must provide services that satisfy the highest professional
standards, which means taking careful measures to avoid conflicts of interest, misrepresentation and negligence. Professional integrity also means following a code of ethics with respect to transparency and disclosure. These measures are important both for preserving an entity’s licence to operate, as well as for attracting and retaining clients. Failure to meet professional standards may lead to negative consequences such as legal penalties or reputational damage, harming the entity’s clients as well as its shareholders. To maintain professional integrity, entities must ensure employees are trained in, and committed to adhering to, applicable financial industry regulations. A description of management’s approach to assuring professional integrity may help investors understand risk exposure and processes in place to avoid misconduct. Disclosure of the entity’s amount of legal and regulatory fines and settlements may provide investors and stakeholders with more transparent information regarding which financial institutions are adhering to regulatory norms.
More",Financials,Investment Banking & Brokerage
Systemic Risk Management,Systemic Risk Management,"Investment Banking & Brokerage entities that fail to manage risks to capital effectively may suffer significant value losses to their financial assets while increasing liabilities. Because of the interconnectedness of the global financial
system, these failures can contribute to significant market disruption and financial crises. This systemic nature of risk has become a central concern for regulators. As a result, many jurisdictions require that banks undergo supervised stress tests to evaluate whether the entity has sufficient capital and liquidity to absorb losses, continue operations and meet obligations in adverse economic and financial conditions. Failure to meet regulatory requirements may lead to penalties and substantially increased future compliance costs. Investment banks should improve their disclosures by measuring how well they can absorb shocks arising from systemic stresses to demonstrate how risks associated with their size, complexity, interconnectedness, substitutability and cross-jurisdictional activity are being managed. Entities that commit to enhanced disclosures may experience improved investor and shareholder confidence, potentially leading to increased revenues.
More",Financials,Investment Banking & Brokerage
Systemic Risk Management,Employee Incentives & Risk-taking,"Variations in employee compensation structures in the Investment Banking & Brokerage industry may incentivise employees to focus on short- or long-term entity performance. Structures that emphasise short-term performance may encourage excessive
risk-taking, with adverse implications for long-term corporate value. Various financial crises in recent decades have increased regulatory and shareholder scrutiny towards excessive risk-taking behaviour. Enhanced disclosure of employee compensation, focusing on performance metrics and variable remuneration, policies regarding clawback provisions, supervision, control and validation of traders’ pricing of Level 3 assets may provide investors with a better understanding of how entities are preserving corporate value by prioritising long-term growth over short-term reward.
More",Financials,Investment Banking & Brokerage
Selling Practices & Product Labeling,Lending Practices,"The approach mortgage finance entities take when incentivising employees and how they communicate with customers is important for more than one reason. First, the incentive structures and compensation policies of loan originators may unintentionally
encourage them to promote lending products and services unsuitable for their clients. Second, a lack of transparency provided to customers with respect to primary and add-on products may impair an entity’s reputation and invite regulatory scrutiny and costly litigation. Finally, as a consequence, the resulting client portfolios may contain a high concentration of risky products sold. Also, laws and regulations restricting predatory lending may prohibit mortgage originators from receiving compensation tied to loan value and may require additional disclosures be provided to borrowers. Entities that develop transparent information, give fair advice to customers and clearly disclose their lending practices may assist shareholders in determining which entities better protect shareholder value.
More",Financials,Mortgage Finance
Selling Practices & Product Labeling,Discriminatory Lending,"The Mortgage Finance industry aggregates data to determine loan terms and conditions including important provisions such as loan size, interest rate, up-front points or other fees. However, the complex process may result in intentional or
unintentional discriminatory lending practices by the mortgage originator. Discriminatory lending may result in fines or settlements for violations of regulations, increased reputational risk, and negative financial performance because of loan mispricing. Disclosing internal processes to ensure non-discriminatory lending, disclosing the amount of mortgage lending categorised by minority status along with relevant financial characteristics, and disclosing the amount of monetary losses resulting from legal proceedings associated with violations of applicable laws and regulations may help investors assess entity performance. Entities in the Mortgage Finance industry may reduce the risk of discriminatory lending, including unintended discriminatory lending, by implementing strong processes, enforcing internal controls, and proactively monitoring their loan portfolio, among other techniques.
More",Financials,Mortgage Finance
Physical Impacts of Climate Change,Environmental Risk to Mortgaged Properties,"An increase in the frequency of extreme weather events associated with climate change may have an adverse impact on the Mortgage Finance industry. Specifically, hurricanes, floods and other climate change-related events have the potential to result
in missed payments and loan defaults, while also decreasing the value of underlying assets. Entities which incorporate climate-related risks into lending analysis may be better positioned to create value over the long-term.
More",Financials,Mortgage Finance
Product Design & Lifecycle Management,Promoting Transparent & Efficient Capital Markets,"Security and commodity exchanges have a responsibility to ensure equal access to capital markets for all investors. As public markets, these entities help ensure efficient capital allocation and equal application of rules for all
participants. Entities must also manage the release of public data to prevent information asymmetries. The advent of new technologies such as high-frequency trading may give some traders an advantage at the expense of others. Information asymmetries allowing for unfair arbitrage may result in litigation, regulatory penalties, additional regulatory oversight and increased compliance costs, as well as reputational damage that may reduce trading volumes and associated revenues. Disclosure of policies relating to information releases, trading halts and the risks and opportunities associated with algorithmic or high-frequency trading may permit investors to understand more clearly how security and commodity exchanges protect shareholder value.
More",Financials,Security & Commodity Exchanges
Business Ethics,Managing Conflicts of Interest,"Security and commodity exchanges are responsible for the oversight of member entities. Specifically, entities in this industry monitor membership information and regulatory compliance to ensure market integrity and transparency. Controversies
relating to market manipulation, tax fraud, investor protection rules and anti-competitive behaviour have raised concern about conflicts of interest that arise because of security and commodity exchanges’ position as self-regulatory organisations (SROs). Rapid innovation in financial markets provides significant opportunities to enhance profitability. However, exchanges must continue to fulfil their responsibilities as SROs to ensure open and fair access to all investors, to publish rules and fees, and to oversee trading. Entities that effectively discourage fraudulent or unethical activities may preserve market integrity, limit reputational damage and ensure long-term sustainable growth.
More",Financials,Security & Commodity Exchanges
Systemic Risk Management,Managing Business Continuity & Technology Risks,"Security and commodity exchanges face increased risks and opportunities associated with information technology. The industry’s integral position in the proper functioning of financial markets requires that exchanges manage security breaches and
technology errors to prevent market disruptions. Because security and commodity exchanges face increased volumes of trading associated with the clearing and execution of derivative trades and increased frequency of cyber-attacks, the industry may be exposed to new risks and opportunities associated with its reliance on information technology. Failure to ensure trading continuity may erode customer trust and result in reduced trading volumes and loss of revenue. Increased disclosure of efforts taken to prevent these risks may allow shareholders to assess the entity’s value more accurately than they could otherwise.
More",Financials,Security & Commodity Exchanges
GHG Emissions,Greenhouse Gas Emissions,"Entities in the Agricultural Products industry generate direct greenhouse gas (GHG) emissions from processing and transporting goods via land and sea freight operations. Emissions regulations may increase the cost of capital, operational costs and
affect the operational efficiency of entities without strategies to manage GHG emissions. Employing innovative technologies that use alternative fuels and energy inputs—including biomass waste generated from internal processes—and improving fuel efficiency are ways entities can limit exposure to volatile fuel pricing, supply disruptions, future regulatory costs and other potential consequences of GHG emissions.
More",Food & Beverage,Agricultural Products
Energy Management,Energy Management,"Processing and milling agricultural products require substantial energy input. While some agricultural products entities generate energy on-site through the direct combustion of fossil fuels or biomass, most energy is procured from the electrical
grid. Energy consumption contributes to environmental impacts, including climate change and pollution. Energy management affects current and future costs of operation. Climate regulation and other sustainability factors could result in higher or more volatile electricity and fuel prices, increasing operating costs for agricultural products entities. Therefore, energy efficiency gained through process improvements can lower operating costs. The trade-off between on-site versus grid-sourced electricity as well as the use of alternative energy can play important roles in influencing both the long-term cost and reliability of an entity’s energy supply and the extent of regulatory impact from direct versus indirect emissions.
More",Food & Beverage,Agricultural Products
Water & Wastewater Management,Water Management,"The Agricultural Products industry relies on water for processing activities, and entities in the industry also typically generate wastewater or effluent. The availability of water, because of physical availability or regulatory access, directly
impacts the industry’s ability to operate processing facilities efficiently. Entities in the industry increasingly are exposed to water-related risks and regulations, which may increase capital expenditure costs, operating costs, remediation costs or potential fines. Entities can manage water-related risks and opportunities and mitigate long-term costs through capital investments and assessment of facility locations relative to water scarcity risks, improvements to operational efficiency, and work with regulators and communities on issues related to water access and effluent. A separate supply chain-oriented topic, Ingredient Sourcing, addresses the risks related to crop production driven by water availability and access.
More",Food & Beverage,Agricultural Products
Product Quality & Safety,Food Safety,"Agricultural products are either sold directly to consumers in raw form or are processed beforehand. Maintaining product quality and safety is critical because contamination by pathogens, chemicals or spoilage presents serious health risks to humans
and animals. Contamination may result from poor farming, transport, storage or handling practices. Food quality and safety issues can result in changes in demand and regulatory action. Product recalls can harm brand reputation, reduce revenues and involve costly fines. Obtaining food safety certifications and ensuring suppliers follow food safety guidelines may help entities safeguard against product safety risks and improve consumers’ perceived quality of their products.
More",Food & Beverage,Agricultural Products
Employee Health & Safety,Workforce Health & Safety,"Industrial processes used in the Agricultural Products industry present significant occupational hazards. Employees may be engaged in labour-intensive activities involving common hazards such as falls, transportation accidents, equipment-related
accidents, and heat-related illness or injury, among others. Violations of health and safety standards could result in regulatory penalties and costs for corrective actions. High injury and fatality rates may suggest that an entity has a weak governance structure and a weak workplace safety culture and could result in significant reputational harm. Strong performance on managing workforce health and safety can help build brand image and promote worker morale, which may result in increased productivity, reduced worker turnover and enhanced community relations.
More",Food & Beverage,Agricultural Products
Supply Chain Management,Environmental & Social Impacts of Ingredient Supply Chain,"Agricultural products entities source agricultural inputs from many suppliers. How entities in the industry engage with suppliers on environmental and social issues may affect consumer demand, reputational risks, and the ability of entities to
effectively manage their crop supply and respond to price fluctuations. Supply chain management issues related to labour, environmental practices, ethics or corruption may result in regulatory fines or increased long-term operational costs for entities. Similarly, agricultural products entities may face reputational damage if their suppliers perform poorly on environmental or social issues. Entities can mitigate these risks and potentially increase consumer demand or access new market opportunities by engaging with essential suppliers to implement sustainable agricultural practices or source from certified suppliers.
More",Food & Beverage,Agricultural Products
Supply Chain Management,GMO Management,"Agricultural products developed using genetically modified organism (GMO) technology have experienced increasing consumer interest. In many cases, GMO technology has enabled improvements in crop yield through development of disease- or
drought-resistant strains, but consumer concerns persist regarding the perceived health, environmental or social impacts related to the cultivation and consumption of GMOs. Some jurisdictions have banned the use or cultivation of GMOs. Food and beverage entities along the food supply chain, including entities in the Agricultural Products industry, are seeking effective means to assess GMO-related risks and opportunities, and to effectively communicate with consumers on the topic. Entities in the Agricultural Products industry that can meet changing consumer trends and regulatory changes through their products or effective communication may reduce potential reputational risks and revenue loss as well as access new market opportunities.
More",Food & Beverage,Agricultural Products
Materials Sourcing & Efficiency,Ingredient Sourcing,"Agricultural products entities source a wide variety of commodities and ingredients from farmers or intermediary distributors. The industry’s ability to reliably source ingredients at desired price points fluctuates with crop yield, which may be
affected by climate change, water scarcity, land management and other resource scarcity considerations. Entities that source more productive and less resource-intensive crops, or those that work closely with suppliers to increase their adaptability to climate change and other resource scarcity risks, may reduce crop price volatility and crop supply disruptions. Additionally, entities may improve their brand reputation and develop new market opportunities. Failure to effectively manage sourcing risks can result in higher costs of capital, reduced margins and constrained revenue growth.
More",Food & Beverage,Agricultural Products
Energy Management,Energy Management,"Entities in the Alcoholic Beverages industry rely on both fuel and purchased electricity as critical inputs. Fossil fuel and electrical energy consumption can contribute to negative environmental impacts, including climate change and pollution. These
impacts have the potential to affect the value of entities in this industry since greenhouse gas (GHG) emissions regulations and new incentives for energy efficiency and renewable energy could result in increased fossil fuels and conventional electricity price volatility, while making alternative sources more cost-competitive. Entities that manage for increased energy efficiency and use alternative energy sources may increase profitability by reducing both expenses and risks.
More",Food & Beverage,Alcoholic Beverages
Water & Wastewater Management,Water Management,"Water management includes an entity’s direct water use, exposure to water scarcity and management of wastewater. Entities in the Alcoholic Beverages industry use a large amount of water in their operations, since water is a key input for their
finished products. Given alcoholic beverage entities’ heavy reliance on large volumes of clean water and water scarcity is increasing in different regions globally, entities may be exposed to supply disruptions that could significantly impact operations and increase costs. Entities operating in water-stressed regions that fail to address local water concerns may risk losing their social license to operate. Improving water management through increased efficiency and recycling, particularly in regions with baseline water stress, can result in lower operating costs, reduced risks and higher intangible asset value.
More",Food & Beverage,Alcoholic Beverages
Selling Practices & Product Labeling,Responsible Drinking & Marketing,"The irresponsible consumption of alcoholic beverages can lead to negative social externalities such as drunk driving, addiction, underage drinking, death and many other public health issues. Every year, alcohol consumption contributes to millions of
deaths worldwide, including a sizeable proportion of underage youth and young adults. The harmful use of alcohol presents an acute concern in countries that lack strong laws to protect against alcohol’s detrimental effects. Entities may be required to internalise the costs of these social externalities through taxes, lawsuits, or reputational harm, which can have substantial financial consequences. Failing to effectively manage social externalities may result in unfavourable regulation and impair the entity’s social licence to operate. Through education, engagement, community partnerships and responsible marketing, particularly to underage individuals, entities can address and mitigate many of the social externalities associated with alcohol misuse. Entities that effectively manage this issue can reduce the likelihood of extraordinary expenses, improve market share and decrease liabilities.
More",Food & Beverage,Alcoholic Beverages
Product Design & Lifecycle Management,Packaging Lifecycle Management,"Packaging materials represent a significant cost to entities in the Alcoholic Beverages industry. Although many alcoholic beverage entities do not manufacture their own bottles and packaging, they face reputational risks associated with the negative
externalities that their products’ containers are associated with over their lifecycle. Entities are also directly affected by legislation regarding end-of-life management of beverage containers. Alcoholic beverage entities can work with packaging manufacturers on packaging design to generate cost savings, improve brand reputation and reduce the environmental impact of packaging. Efforts to reduce the amount of material used in packaging can reduce transportation costs, exposure to supply and price volatility and the amount of virgin material extracted for manufacturing. In the end-of-life phase, take-back and recycling programmes and partnerships can meet regulations, help achieve cost savings and reduce environmental impacts. Entities that effectively manage this issue can improve profitability and reduce the cost of capital.
More",Food & Beverage,Alcoholic Beverages
Supply Chain Management,Environmental & Social Impacts of Ingredient Supply Chain,"Entities in the Alcoholic Beverages industry manage global supply chains to source a wide range of ingredient inputs. How entities screen, monitor and engage with suppliers on environmental and social topics affects entities’ ability to secure supply
and manage price fluctuations. Supply chain interruption can cause loss of revenue and negatively impact market share if entities are unable to find alternatives for key suppliers or must source ingredients at a higher cost. Supply chain management issues related to labour practices, environmental responsibility, ethics or corruption may also result in regulatory fines or increased long-term operational costs. The consumer-facing nature of the industry increases the reputational risks associated with supplier actions. Managing an entity’s exposure to environmental and social risks may improve supply chain resiliency and enhance an entity’s reputation. Entities can engage with key suppliers to manage environmental and social risks to improve supply chain resiliency, mitigate reputational risks and potentially increase consumer demand or capture new market opportunities.
More",Food & Beverage,Alcoholic Beverages
Materials Sourcing & Efficiency,Ingredient Sourcing,"Entities in the Alcoholic Beverages industry source a wide range of ingredients, largely agricultural inputs, from suppliers worldwide. The industry’s ability to source ingredients fluctuates with supply availability, which may be affected by climate
change, water scarcity, land management and other resource scarcity considerations. This exposure can result in price volatility and can affect entity profitability. Ultimately, climate change, water scarcity and land-use restriction present risks to an entity’s long-term ability to source key materials and ingredients. Entities that source ingredients that are more productive, effectively cultivated and less resource-intensive, or those that work closely with suppliers to increase their adaptability to climate change and manage exposure to other resource scarcity risks may reduce price volatility or supply disruptions.
More",Food & Beverage,Alcoholic Beverages
GHG Emissions,Fleet Fuel Management,"Entities in the Food Retailers & Distributors industry own and operate vehicle fleets to deliver products between its distribution and retail locations. The fuel consumption of vehicle fleets is a significant industry expense, both in terms of
operating costs and associated capital expenditures. Fossil fuel consumption can contribute to environmental impacts, including climate change and pollution. These environmental impacts may affect food retailers and distributors through regulatory exposure. Efficiencies gained in fuel use can reduce costs, mitigate exposure to fossil fuel price volatility and limit the carbon footprint associated with storage and transportation. Short-term capital expenditures in fuel-efficient fleets and more energy efficient technologies may be outweighed by long-term operational savings and decreased exposure to regulatory risks.
More",Food & Beverage,Food Retailers & Distributors
GHG Emissions,Air Emissions from Refrigeration,"Emissions of refrigeration chemicals from equipment used to store and display perishable foods pose unique regulatory risks for the Food Retailers & Distributors industry. International regulations on hydrochlorofluorocarbons (HCFCs) aim to mitigate
damage by HCFCs to the earth’s ozone layer. Additionally, many common HCFCs and hydrofluorocarbons (HFCs) are highly potent greenhouse gases (GHGs), which increases the industry’s exposure to climate change-related regulations. Regulators can assess penalties on entities that violate emissions standards. Entities may be required to upgrade or replace equipment, making capital expenditures to reduce emissions or replace existing refrigerants with potentially costlier but less environmentally-damaging alternatives.
More",Food & Beverage,Food Retailers & Distributors
Energy Management,Energy Management,"Food retail and distribution facilities are typically more energy-intensive than other types of commercial spaces. These facilities use energy predominately for refrigeration, heating, ventilation and air conditioning (HVAC), as well as
lighting. Entities in the industry generally purchase the majority of consumed electricity, while some are beginning to generate energy on-site or add renewable energy into their energy mix. Energy production and consumption contribute to environmental impacts, including climate change and pollution, which have the potential to indirectly, yet materially, impact the operations of food retailers and distributors. Entities that manage to increase energy efficiency and use alternative energy sources may increase profitability by reducing expenses and decreasing risk.
More",Food & Beverage,Food Retailers & Distributors
Waste & Hazardous Materials Management,Food Waste Management,"The Food Retailers & Distributors industry generates food waste at various stages of operation. Food waste includes edible or otherwise useful food that does not reach consumers, as well as foods that spoil or are damaged during transportation or
stocking or while sitting on store shelves. For entities, food waste represents losses of both saleable merchandise and resources used in food production, including land, water, labour, energy and agricultural chemicals. Food waste also contributes to food insecurity and can generate greenhouse gas (GHG) emissions during landfill decomposition. Effective food waste management can present financial opportunities to reduce costs associated with inventory loss, as well as help improve food security by more efficiently diverting food resources for beneficial purposes.
More",Food & Beverage,Food Retailers & Distributors
Data Security,Data Security,"Through electronic payment transactions, food retailers establish a relationship of trust with consumers who share their personal financial data with them. Data breaches can occur through breaches of the physical payment technology, called
point-of-sale breaches, as well as through attacks on cybersecurity infrastructure. Data breaches that result in the theft or loss of customers’ personal data undermine trust in an entity’s ability to securely manage confidential information. This loss of confidence could result in reduced number of customer visits, lower revenues and diminished brand value. Retailers with strong technological and managerial systems to avoid data breaches and respond to threats effectively can position themselves favourably with customers and reduce the risk of litigation and other costs.
More",Food & Beverage,Food Retailers & Distributors
Product Quality & Safety,Food Safety,"Maintaining product quality and safety is crucial for the Food Retailers & Distributors industry, since contamination by pathogens, hazardous substances or spoilage can present risks to human health. Contamination can occur at any stage in the food
value chain, including food production, processing, transportation, distribution and retail. Although entities may not be directly responsible for all food safety and recall incidents, they are involved in the process and still may experience consequences associated with incidents, such as financial ramifications, damage to brand value, lower revenues and increased costs. Measures to prevent spoilage and contamination include temperature control, frequent food inspection and careful supplier selection.
More",Food & Beverage,Food Retailers & Distributors
Customer Welfare,Product Health & Nutrition,"Consumer awareness of food content and nutritional value and their relationship to health, shapes the industry’s competitive landscape. Demand for food products that are made with natural ingredients, certified to be organic, low-fat or low-sugar, or
produced without genetically modified organisms (GMOs) can create opportunities for entities. Although the links between consumer health and some foods are not well-established, consumers have nonetheless shown preferences for food categories that are perceived to be healthier than others. Food retailers that recognise the risks and opportunities presented by consumers’ shifting preferences and adapt to consumer demands may be better positioned to capture opportunities for increasing revenue and market share.
More",Food & Beverage,Food Retailers & Distributors
Selling Practices & Product Labeling,Product Labelling & Marketing,"Communication with consumers through product labelling and marketing is an important facet of food retail. The accuracy and depth of information presented in food labelling is important to shoppers and regulators. Labelling is especially relevant for
the sale of private-label products manufactured for food retailers, with direct consequences on brand reputation. To inform purchasing decisions, consumers may seek additional information about product ingredients, such as the presence of genetically modified organism (GMO) content or other ingredients considered healthy or nutritious. These issues can affect competition among entities in the industry, since entities may be subject to litigation or criticism resulting from making misleading statements or failing to adapt to consumer demand for increased labelling transparency. These factors can have consequences on retailers’ brand value and revenue growth. Regulations addressing the accurate labelling of products and their ingredients present an additional risk of penalties or litigation for entities.
More",Food & Beverage,Food Retailers & Distributors
Labour Practices,Labour Practices,"The Food Retailers & Distributors industry employs many hourly workers. Low average wages in the industry, which help entities maintain low prices for products, may result in labour-related risks. Worker dissatisfaction with wages and
benefits, combined with high unionisation rates, can result in strikes which can in turn lead to business disruption and reputational damage. Additionally, entities that are involved in gender and racial discrimination cases can experience costly financial settlements. Entities may benefit from taking a long-term perspective on managing workers, including their pay and benefits, in a way that protects the rights of workers and enhances their productivity and strengthens the entity’s reputation and brand value.
More",Food & Beverage,Food Retailers & Distributors
Supply Chain Management,Management of Environmental & Social Impacts in the Supply Chain,"Food retailers and distributors source merchandise from a wide range of manufacturers. These suppliers face a myriad of sustainability-related challenges that include resource conservation, water scarcity, animal welfare, fair labour practices and
climate change. When poorly managed, these issues can affect the price and availability of food. Additionally, consumers increasingly are concerned with the production methods, origins and externalities associated with the foods they purchase, which may affect an entity’s reputation. Food retailers and distributors also can work with suppliers on packaging design to generate cost savings in transport, improve brand reputation and reduce environmental impact. Entities that can manage effectively product supply risks by assessing and engaging with suppliers, implementing sustainable sourcing guidelines and enhancing supply chain transparency positioned more advantageously to improve supply chain resiliency, mitigate reputational risks, and potentially increase consumer demand or capture new market opportunities.
More",Food & Beverage,Food Retailers & Distributors
GHG Emissions,Greenhouse Gas Emissions,"The Meat, Poultry & Dairy industry generates significant Scope 1 greenhouse gas (GHG) emissions from both livestock and energy-intensive industrial processes. GHG emissions contribute to climate change and create additional regulatory compliance
costs and risks for meat, poultry and dairy entities because of climate change mitigation policies. The majority of the industry’s emissions stem directly from the animals themselves through the release of methane during enteric fermentation, and from manure storage and processing. The direct emissions from raising and producing livestock represent a significant portion of total GHG emissions released among all sources. Currently, these emissions sources are not regulated widely, which presents uncertainties regarding the future of GHG regulations for the industry. Entities in this industry also use large quantities of fossil fuels to meet energy needs, generating additional direct GHG emissions and increasing exposure to regulatory risks. Future emission regulations could result in additional operating or compliance costs. By implementing new technologies to capture animal emissions and focusing on energy efficiency, entities may mitigate regulatory risk and volatile energy costs while also limiting GHG emissions.
More",Food & Beverage,"Meat, Poultry & Dairy"
Energy Management,Energy Management,"The Meat, Poultry & Dairy industry relies heavily on purchased electricity and fuel as critical inputs for value creation. Entities’ use of electricity and fossil fuels in their operations results in indirect and direct greenhouse gas
(GHG) emissions, which contribute to environmental impacts, including climate change and pollution. Purchased electricity is a significant operating cost for meat, poultry and dairy entities. Efficient energy usage is essential to maintain a competitive advantage in this industry, as purchased fuels and electricity account for a significant portion of total production costs. Decisions regarding alternative fuels use, renewable energy and on-site electricity generation versus purchasing from the grid can influence both the costs and the reliability of the energy supply.
More",Food & Beverage,"Meat, Poultry & Dairy"
Water & Wastewater Management,Water Management,"The Meat, Poultry & Dairy industry is water-intensive both in raising livestock and industrial processing. Additionally, entities in the industry typically generate wastewater or effluent, from both animal production and processing activities. As
water scarcity becomes an issue of growing importance because of population growth, increasing consumption per capita, poor water management and climate change, entities in the industry may face higher operational costs or lost revenues because of water shortages or regulations resulting in production reduction. Entities can manage water-related risks and opportunities through capital investments and assessment of facility locations relative to water scarcity risks, improvements to operational efficiency, and partnerships with regulators and communities on issues related to water access and effluent.
More",Food & Beverage,"Meat, Poultry & Dairy"
Ecological Impacts,Land Use & Ecological Impacts,"Meat, Poultry & Dairy industry operations have diverse ecological impacts, primarily because of significant land-use requirements to raise livestock and the contamination of the air, land and groundwater by animal waste. While the impacts are
varied, both traditional and confined animal feeding operations may result in significant ecological impacts. The primary concern from confined animal feeding operations and animal-product processing facilities is the generation of large and concentrated amounts of waste and pollutants. Treating effluent and waste from facilities involves significant costs. Non-confined animal feeding operations require large tracts of pastureland and may result in the physical degradation of land resources. Land use and ecological impacts pose legal and regulatory risks in the form of fines, litigation and difficulties obtaining permits for facility expansions or waste discharges.
More",Food & Beverage,"Meat, Poultry & Dairy"
Product Quality & Safety,Food Safety,"Meat, poultry and dairy products are either sold directly to consumers (for example, milk or eggs) or are processed into a wide variety of foods. Maintaining product quality and safety is crucial because contamination by pathogens, chemicals or
spoilage presents serious health risks to humans and animals. Food safety practices and procedures in the industry are often subject to intense scrutiny and oversight, and outbreaks of diseases among livestock may result in increased regulation. Product recalls can harm brand reputation, reduce revenues and lead to costly fines. Recalls can also increase regulatory scrutiny, which may lead to trade restrictions. Obtaining food safety certifications and ensuring suppliers follow food safety guidelines may help entities safeguard against product safety risks and improve consumers’ perceived quality of their products.
More",Food & Beverage,"Meat, Poultry & Dairy"
Customer Welfare,Antibiotic Use in Animal Production,"In livestock production, prevalent use of antibiotics that are also administered to humans may promote the development of antibiotic-resistant strains of bacteria. Although the use of antibiotics in animal feed or water supplies can improve the
output of animal production and enhance animal welfare in industrial farm settings, entities in the industry must balance these benefits against the potential public health risks. The use of antibiotics in animal production presents reputational and regulatory risks, both of which can affect long-term profitability through effects on demand and market share for meat, poultry and dairy producers. Depending on the animal species, entities in the industry may have varying degrees of control over, and management approaches to, this issue. Entities may have direct control over the feed and medicine administered by contract suppliers in some instances but may set requirements for suppliers more broadly in others.
More",Food & Beverage,"Meat, Poultry & Dairy"
Employee Health & Safety,Workforce Health & Safety,"The Meat, Poultry & Dairy industry has relatively high injury rates compared with other industries given the prevalence of industrial machinery, chemicals, and a fast-paced, loud working environment. Common acute and chronic industrial hazards
include musculoskeletal disorders, exposure to chemicals and pathogens, and traumatic injuries from machines and tools. Worker injuries or deaths may result in low worker morale and productivity, and prohibitive legal, financial and reputational risks to the entity. Regulators may levy fines against entities for worker health and safety standard non-compliance or mandate employee training to reduce preventable accidents. By developing a strong safety culture and reducing employees’ exposure to potentially harmful situations, an entity can safeguard against accidents and proactively improve workforce health and safety.
More",Food & Beverage,"Meat, Poultry & Dairy"
Product Design & Lifecycle Management,Animal Care & Welfare,"Entities in the Meat, Poultry & Dairy industry are especially sensitive to changes in the public perception of animal welfare. Entities perceived to be causing unnecessary cruelty to animals may face increased risk of fines, damage to brand
reputation and regulatory restrictions, such as mandated factory closures. Pressure from consumers and advocacy groups can drive shifts in industry practices such as reducing the use of small enclosures. Entities that anticipate or adapt to these trends effectively may increase market share by capturing new markets as they emerge, or by being the first to comply with new regulations.
More",Food & Beverage,"Meat, Poultry & Dairy"
Supply Chain Management,Environmental & Social Impacts of Animal Supply Chain,"Entities in the Meat, Poultry & Dairy industry rely on a variety of contract farmers and suppliers. Environmental and social impacts within the industry’s supply chain include those related to deforestation, land use and waste management, water
withdrawals, animal welfare, antibiotic usage and food safety. An entity’s management of environmental and social risks relating to its animal supply chain is critical to secure a steady source of animals at desired price points and prevent reputational damage, all of which may decrease revenue and market share.
More",Food & Beverage,"Meat, Poultry & Dairy"
